ID,EnterpriseID,TransDate,Basket ID,Trans Type,Unit Quantity,Net Sale Amount,Gross Sale Amount,Net Sales Amount with TAX,Discounted,Unit Cost,Description,Category,Sub Category,Brand,Season,Size,Cashier,CustomerID,LineNum
1,GRMT,12/3/1977,G12037073654,Sale,1,1.51,1.59,1.51,,1.125,TROP50 OJ CALC,DAIRY,,TROPICANA,,12 OZ,BD,7329611700,1
1,GRMT,12/4/1978,G12037073654,Sale,1,1.89,1.99,1.95,,1.34,COCA COLA CLASSIC,GROCERY,,COCA COLA,,20 FO,BD,7329611700,2
1,GRMT,12/5/1979,E12037074415,Sale,1,2.6,2.89,2.6,,2.0417,TAANUG CANOLA OIL SP,GROCERY,,TAANUG,,6 OZ,H ARCELIA,7325510323,1
1,GRMT,12/5/1980,E12037074415,Sale,9,15.31,17.01,15.31,,1.64,EGGS EXTRA LAR,DAIRY,,SAUDER'S,Holiday,12 CT,H ARCELIA,7325510323,2
1,GRMT,12/6/1981,E12037074415,Sale,10,23.31,25.9,23.31,,2.1111,LOWFAT MILK 1/,DAIRY,,PRIDE OF T,,64 OZ,H ARCELIA,7325510323,3
1,GRMT,12/7/1982,E12037074415,Sale,1,4.85,5.39,4.85,,3.92,BUTTER WHIPPED,DAIRY,,J&J,,8 OZ,H ARCELIA,7325510323,4
1,GRMT,12/8/1983,E12037074415,Sale,2,8.08,8.98,8.08,,3,J&J CREAM CHEE,DAIRY,,J&J,Holiday,8 OZ,H ARCELIA,7325510323,5
1,GRMT,12/8/1984,E12037074415,Sale,2,0.45,0.5,0.45,,0.1795,9 X 13 REGULAR,GROCERY,,PANS,,1 CT,H ARCELIA,7325510323,6
1,GRMT,12/9/1985,E12037074415,Sale,1,13.49,14.99,13.49,,12,AMERICAN WHITE,DAIRY,,HAOLAM,Holiday,3 LB,H ARCELIA,7325510323,7
1,GRMT,12/10/1986,E12037074415,Sale,4,11.48,12.76,11.48,,2.3108,FRUITY DINO BI,GROCERY,,MALT O MEA,,12.5 Z,H ARCELIA,7325510323,8
1,GRMT,12/11/1987,E12037074415,Sale,1,2.87,3.19,2.87,,1.69,COCOA DYNO BITES,GROCERY,,MALT O MEA,,12.5OZ,H ARCELIA,7325510323,9
1,GRMT,12/11/1988,E12037074415,Sale,1,2.87,3.19,2.87,,2.3108,FROSTED FLAKES,GROCERY,,MALT-O-M.,,15.5 Z,H ARCELIA,7325510323,10
1,GRMT,12/12/1989,E12037074415,Sale,1,1.52,1.69,1.52,,1.1875,TAANUG CORN FLAKES,GROCERY,,TAANUG,,12 OZ,H ARCELIA,7325510323,11
1,GRMT,12/13/1990,E12037074415,Sale,2,7.18,7.98,7.18,,2.1717,LIFE CINNAMON,GROCERY,,QUAKER,,13 OZ,H ARCELIA,7325510323,12
1,GRMT,12/14/1991,G12037074614,Sale,0.58,1.64,1.73,1.64,,0,GREEN GRAPES,PRODUCE,,MANFLAS,Easter,92,BD,7329611700,1
1,GRMT,12/14/1992,A12037073738,Sale,0,0,0,0,,0,CHOCOLATE COOKIES PO,GG CANDY,,KLEIN'S,,10 OZ,ELSA A,7326880793,1
1,GRMT,12/15/1993,A12037073738,Sale,4,13.16,13.16,13.16,TRUE,4,CAULIFLOWER FL,FROZEN,,PARDES,,24 OZ,ELSA A,7326880793,2
1,GRMT,12/16/1994,A12037073738,Sale,1,8.69,8.69,8.69,TRUE,8.65,LEBEN CHOCOLATE FAMI,DAIRY,,MEHADRIN,Holiday,12X6OZ,ELSA A,7326880793,3
1,GRMT,12/17/1995,A12037073738,Sale,6,2,2,2,TRUE,0.3125,GEFEN RAMEN NO,GROCERY,,GEFEN,,3 OZ,ELSA A,7326880793,4
1,GRMT,12/17/1996,A12037073738,Sale,1,2.99,2.99,2.99,TRUE,0,CHOCOLATE COOKIES PO,GG CANDY,,KLEIN'S,,10 OZ,ELSA A,7326880793,5
1,GRMT,12/18/1997,A12037073738,Sale,2,3,3,3,TRUE,1.4167,FRESCORTI  MAR,GROCERY,,FRESCORTI,,26 OZ,ELSA A,7326880793,6
1,GRMT,12/19/1998,A12037073738,Sale,1,2.19,2.19,2.19,TRUE,2.0833,GOLD DUCK SAUC,GROCERY,,GOLD'S,Holiday,40 OZ,ELSA A,7326880793,7
1,GRMT,12/20/1999,A12037073738,Sale,0,0,0,0,,0.45,FLORIDA ORANGE,DAIRY,,F&T,,8 OZ,ELSA A,7326880793,8
1,GRMT,12/20/2000,A12037075147,Sale,1,1.75,1.75,1.75,,0,PARVE CHOCOLAT,ZOMICKS,,ZOMICK'S,,,ELSA A,7329012442,1
1,GRMT,12/21/2001,A12037075147,Sale,1,0.69,0.69,0.69,,0.45,FLORIDA ORANGE,DAIRY,,F&T,,8 OZ,ELSA A,7329012442,2
1,GRMT,12/22/2002,A12037075147,Sale,3,7.77,7.77,7.77,,2.1111,LOWFAT MILK 1/,DAIRY,,PRIDE OF T,,64 OZ,ELSA A,7329012442,3
1,GRMT,12/23/2003,A12037075147,Sale,24,16.56,16.56,16.56,,0.4033,CS PLAIN SELTZE,GROCERY,,VINTAGE,Holiday,33.8 Z,ELSA A,7329012442,4
1,GRMT,12/23/2004,A12037075230,Sale,1,2.29,2.29,2.29,,0,RYE BREAD 2LB,ZOMICKS,,ZOMICK'S,,2 LB,ELSA A,1111111111,1
1,GRMT,12/24/2005,A12037075230,Sale,1,2.59,2.59,2.59,,2.1111,LOWFAT MILK 1/,DAIRY,,PRIDE OF T,,64 OZ,ELSA A,1111111111,2
1,GRMT,12/25/2006,A12037075230,Sale,1,3.19,3.19,3.19,,2.15,PREMIUM ORANGE,DAIRY,,LAKEWOOD F,,59 OZ,ELSA A,1111111111,3
1,GRMT,12/26/2007,G12037075310,Sale,0,0,8.28,0,,0.4033,CS PLAIN SELTZE,GROCERY,,VINTAGE,Holiday,33.8 Z,BD,1111111111,1
1,GRMT,12/26/2008,G12037075310,Sale,0,0,6.99,0,,0.375,CS PLAIN SELTZE,GROCERY,,BEER MAYIM,Holiday,1 LT,BD,1111111111,2
1,GRMT,12/27/2009,G12037075634,Sale,1,3.19,3.19,3.3,,2.4158,WINDEX POWERIZ,GROCERY,,WINDEX,,32 OZ,BD,7322222222,1
1,GRMT,12/28/2010,A12037075318,Sale,1,2.89,2.89,2.89,,2.0317,SMART BALANCE,DAIRY,,SMART BALA,,15 OZ,ELSA A,7323642975,1
1,GRMT,12/29/2011,A12037075318,Sale,1,1.89,1.89,1.89,,1.64,EGGS EXTRA LAR,DAIRY,,SAUDER'S,Holiday,12 CT,ELSA A,7323642975,2
1,GRMT,12/29/2012,A12037075318,Sale,10,16.9,16.9,16.9,,1.1875,CAN DRY 1L GIN,GROCERY,,CANADA DRY,Holiday,1 L,ELSA A,7323642975,3
1,GRMT,12/30/2013,A12037075318,Sale,1,3.89,3.89,3.89,,2.775,CRISP RICE,GROCERY,,KEMACH,,18 OZ,ELSA A,7323642975,4
1,GRMT,12/31/2014,A12037075318,Sale,1,0.89,0.89,0.89,,0.6292,RED CROSS SALT,GROCERY,,RED CROSS,Holiday,26 OZ,ELSA A,7323642975,5
1,GRMT,1/1/2016,A12037075318,Sale,1,2.19,2.19,2.19,,1.4583,FLUFF GRD WALN,GROCERY,,NUTS G.,Holiday,6 OZ,ELSA A,7323642975,6
1,GRMT,1/1/2017,A12037075318,Sale,1,3.99,3.99,3.99,,0,MANDARINS,PRODUCE,,SUNRAY,,3LB,ELSA A,7323642975,7
1,GRMT,1/2/2018,A12037075318,Sale,1,6.99,6.99,6.99,,4.75,WALNUT TOPPING,GROCERY,,KLIEN'S,,8 OZ,ELSA A,7323642975,8
1,GRMT,1/3/2019,A12037075318,Sale,1,3.49,3.49,3.49,,2.5792,GFN ALMOND EXT,GROCERY,,GEFEN,Holiday,2 OZ,ELSA A,7323642975,9
1,GRMT,1/4/2020,A12037075318,Sale,1.69,5.05,5.05,5.05,,0,GRAPES RED  US,PRODUCE,,MANFLAS,,93,ELSA A,7323642975,10
1,GRMT,1/4/2021,A12037075318,Sale,2,4.98,4.98,4.98,,1.8333,GLICKS CANOLA,GROCERY,,GLICKS,,6 OZ,ELSA A,7323642975,11
1,GRMT,1/5/2022,A12037075318,Sale,1,2.99,2.99,2.99,,1.721,SUGAR PURE CAN,GROCERY,,DOMINO,Holiday,4 LB,ELSA A,7323642975,12
1,GRMT,1/6/2023,A12037075318,Sale,4,1.56,1.56,1.56,,0.3,VEGGIE FLUTES GARDEN,GROCERY,,GOLDEN FLF,,.5 OZ,ELSA A,7323642975,13
1,GRMT,1/7/2024,A12037075318,Sale,0.55,0.98,0.98,0.98,,0,BARTLETT PEARS,PRODUCE,,FARM FRESH,,4409,ELSA A,7323642975,14
1,GRMT,1/7/2025,A12037075318,Sale,1,1.99,1.99,1.99,,1.3958,WHITE VINEGAR,GROCERY,,HEINZ,,32 FL,ELSA A,7323642975,15
1,GRMT,1/8/2026,A12037075318,Sale,2,2.66,2.66,2.66,TRUE,1.3333,BLOOM'S CHOC.,GROCERY,,BLOOM'S,,9 OZ,ELSA A,7323642975,16
1,GRMT,1/9/2027,A12037075318,Sale,1,11.99,11.99,11.99,,6.2083,GFN OLIV OIL M,GROCERY,,GEFEN,Holiday,33.8OZ,ELSA A,7323642975,17
1,GRMT,1/10/2028,A12037075318,Sale,1,3.69,3.69,3.69,,2.65,HAMOTZIE/60 CAL WW,GROCERY,,PASYISROEL,,16 OZ,ELSA A,7323642975,18
1,GRMT,1/10/2029,A12037075318,Sale,1,1.19,1.19,1.19,,0.7504,DOMINO SUGAR C,GROCERY,,DOMINO,,16 OZ,ELSA A,7323642975,19
1,GRMT,1/11/2030,A12037075318,Sale,1,1.99,1.99,1.99,,1.4792,VANILLA SUGAR,GROCERY,,SHWARTZ,Holiday,12 OZ,ELSA A,7323642975,20
1,GRMT,1/12/2031,A12037075318,Sale,1,3.29,3.29,3.29,,2.3813,KEMACH ALL PUR,GROCERY,,KEMACH,,5 LB,ELSA A,7323642975,21
1,GRMT,1/13/2032,G12037080126,Sale,0,0,0,0,,1.34,COCA COLA CLASSIC,GROCERY,,COCA COLA,,20 FO,BD,,1
1,GRMT,1/13/2033,5.12E+11,Sale,6,71.94,71.94,71.94,,9.2,CHOPPED POSITI,PRODUCE,,POSITIV P,,32 OZ,LESLY T,1111111111,1
1,GRMT,1/14/2034,G12037080517,Sale,1,1.5,1.5,1.5,TRUE,2.2083,LIEBERS CRACKE,GROCERY,,LIEBER'S,`,10.3OZ,BD,1111111111,1
1,GRMT,1/15/2035,5.12E+11,Sale,1,2.99,2.99,2.99,TRUE,2.25,WHIPPED CREAM,DAIRY,,GIVAT,Holiday,8 OZ,LESLY T,7323640472,1
1,GRMT,1/16/2036,5.12E+11,Sale,1,2.29,2.29,2.29,,0,RYE BREAD 2LB,ZOMICKS,,ZOMICK'S,,2 LB,LESLY T,7323640472,2
1,GRMT,1/16/2037,5.12E+11,Sale,1,4.99,4.99,4.99,,3.5,DAZZLING TOYS DREIDE,GROCERY,,DAZZLING,,50 CT,LESLY T,7323640472,3
1,GRMT,1/17/2038,5.12E+11,Sale,1,2.99,2.99,3.09,,1.95,CHEVRON STRIPE BLACK,GROCERY,,PARTY PACK,,30 CT,LESLY T,7323640472,4
1,GRMT,1/18/2039,5.12E+11,Sale,8,11.92,11.92,11.92,,1,FRUIT PUNCH DR,GROCERY,,LIEBER'S,,4 CT,LESLY T,7323640472,5
1,GRMT,1/19/2040,5.12E+11,Sale,30,4.8,4.8,4.8,TRUE,0.1563,FUNZZ BBQ,GROCERY,,BEST S.,,1 OZ,LESLY T,7323640472,6
1,GRMT,1/19/2041,5.12E+11,Sale,56,14,14,14,TRUE,0.2431,OODLES DREIDEL SINGL,GROCERY,,PASKESZ,,.56 OZ,LESLY T,7323640472,7
1,GRMT,1/20/2042,G12037081058,Sale,1,4.99,4.99,5.16,,3.3325,BOUNTY SELECT,GROCERY,,BOUNTY,,2 PAK,BD,7322222222,1
1,GRMT,1/21/2043,G12037081058,Sale,1,3.19,3.19,3.3,,2.4158,WINDEX POWERIZ,GROCERY,,WINDEX,,32 OZ,BD,7322222222,2
1,GRMT,1/22/2044,5.12E+11,Sale,1,5.99,5.99,5.99,,3.68,TYLENOL 24'S X,GROCERY,,BRACHA,,24 CT,LESLY T,1111111111,1
1,GRMT,1/22/2045,8.12E+11,Sale,2.57,17.96,17.96,17.96,,0,SALMON TAILS,FISH RIVER,,FISH RIVER,,,YURY,1111111111,1
1,GRMT,1/23/2046,5.12E+11,Sale,3,4.5,4.5,4.5,TRUE,1.9583,MC*CAIN FRENCH,FROZEN,,MCCAIN,,26 OZ.,LESLY T,7323636331,1
1,GRMT,1/24/2047,5.12E+11,Sale,3,7.77,7.77,7.77,,2.1111,VITAMIN D WHOL,DAIRY,,PRIDE OF T,,64 OZ,LESLY T,7323636331,2
1,GRMT,1/25/2048,5.12E+11,Sale,1,6.49,6.49,6.49,TRUE,6.5,JERUSLM 2 PIZZ,FROZEN,,EDDIES,,40 OZ,LESLY T,7323636331,3
1,GRMT,1/25/2049,5.12E+11,Sale,3,4.5,4.5,4.5,TRUE,1.4733,MC*CAIN FRENCH,FROZEN,,MCCAIN,,32 OZ.,LESLY T,7323636331,4
1,GRMT,1/26/2050,5.12E+11,Sale,2,2.58,2.58,2.58,TRUE,1.1,MIGDAL MARGARI,DAIRY,,MIGDAL,,16 OZ.,LESLY T,7323636331,5
1,GRMT,1/27/2051,5.12E+11,Sale,2,2.18,2.18,2.18,,0.75,SUPERMINTS S/F,GROCERY,,PASKESZ,,.22 OZ,LESLY T,7323636331,6
1,GRMT,1/28/2052,5.12E+11,Sale,0,0,0,0,,1.55,SLICED WHITE MUSHROO,PRODUCE,,,,9549,LESLY T,7323636331,7
1,GRMT,1/28/2053,5.12E+11,Sale,0.68,2.71,2.71,2.71,,0,PORTABELLO MUS,PRODUCE,,PRODUCE,,9546,LESLY T,7323636331,8
1,GRMT,1/29/2054,8.12E+11,Sale,1,1.79,1.79,1.85,,1.19,DR PEPPER ORIGINAL,GROCERY,,DR. PEPPER,,2 LT,YURY,1111111111,1
1,GRMT,1/30/2055,8.12E+11,Sale,2,5.98,5.98,5.98,TRUE,3.75,BAKED SALMON SALAD,DAIRY,,GOLDEN T.,,7.5 OZ,YURY,7323701217,1
1,GRMT,1/31/2056,8.12E+11,Sale,2,3.58,3.58,3.58,TRUE,1.5,PRIGAT ORANGE,GROCERY,,PRIGAT,Holiday,1.5 LT,YURY,7323701217,2
1,GRMT,1/31/2057,8.12E+11,Sale,1,1.79,1.79,1.79,TRUE,1.5,PRIGAT STRW/BN,GROCERY,,PRIGAT,Holiday,1.5 LT,YURY,7323701217,3
1,GRMT,2/1/2058,A12037080527,Sale,12,0.96,0.96,0.99,TRUE,0.064,"9"" ROUND PAN",GROCERY,,PANS,,1 CT,ELSA A,1111111111,1
1,GRMT,2/2/2059,A12037080527,Sale,1,3.59,3.59,3.59,TRUE,4.1,CARAMELT,GROCERY,,K SELECT,,16OZ,ELSA A,1111111111,2
1,GRMT,2/3/2060,A12037080527,Sale,1,2.49,2.49,2.49,TRUE,0.2575,AARONS CHKN FR,FROZEN,,AARON'S,Holiday,12 OZ,ELSA A,1111111111,3
1,GRMT,2/3/2061,A12037080527,Sale,1,3.19,3.19,3.19,,2.1,SANDWICH STYLE,DAIRY,,HAOLAM,,6 OZ,ELSA A,1111111111,4
1,GRMT,2/4/2062,A12037080527,Sale,3,3.99,3.99,3.99,TRUE,1.32,CREME YOGURT MOCHA L,DAIRY,,NORMANS,,4.5 OZ,ELSA A,1111111111,5
